component 0,output,flag,username,timestamp
,,,,2023-12-14 09:31:15.263610
"{""path"":""flagged\\image\\7f69c08f41f0b4411730\\测试题2.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\97032\\AppData\\Local\\Temp\\gradio\\88411040d7884a9b2b4a759a97ca276bb3e8368f\\测试题2.jpg"",""size"":80627,""orig_name"":""测试题2.jpg"",""mime_type"":""""}","['差', '。', '假', '设', '层', '法', ',', '并', '为', '深', '度', '学', '习', '框', '架', '提', '供', '一', '个', '实', '现', '。', '我', '们', '可', '以', '按', '小', '结', '梯', '度', '消', '失', '和', '梯', '度', '爆', '炸', '是', '深', '度', '网', '络', '中', '的', '常', '见', '问', '题', '。', '在', '参', '数', '初', '始', '化', '时', '需', '要', '非', '常', '小', '心', ',', '以', '确', '保', '梯', '度', '和', '参', '数', '可', '以', '得', '到', '很', '好', '的', '控', '制', '。', '需', '要', '用', '启', '发', '式', '的', '初', '始', '化', '方', '法', '来', '确', '保', '初', '始', '梯', '度', '既', '不', '太', '大', '也', '不', '太', '小', '。', 'R', 'e', 'L', 'U', '激', '活', '函', '数', '缓', '解', '了', '梯', '度', '消', '失', '问', '题', ',', '这', '样', '可', '以', '加', '速', '收', ' ', '。', '·', ' ', '随', '机', '初', '始', '化', '是', '保', '证', '在', '进', '行', '优', '化', '前', '打', '破', '对', '称', '性', '的', '关', '键', '。', 'X', 'a', 'v', 'i', 'e', 'r', ' ', '初', '始', '化', '表', '明', '，', '对', '于', '每', '一', '层', '，', '输', '出', '的', '方', '差', '不', '受', '输', '入', '数', '量', '的', '影', '响', '，', '任', '何', '梯', '度', '的', '方', '差', '不', '受', '输', '出', '数', '量', '的', '影', '响', '。', '练', '习', '(', '1', ')', '除', '了', '多', '层', '感', '知', '机', '的', '排', '列', '具', '有', '对', '称', '性', '之', '外', ',', '还', '能', '设', '计', '出', '其', '他', '神', '经', '网', '络', '可', '能', '会', '表', '现', '出', '对', '称', '性', '且', '需', '要', '被', '打', '破', '的', '情', '况', '吗', '?', '(', '2', ')', '我', '们', '是', '否', '可', '以', '将', '线', '性', '回', '归', '或', 's', 'o', 'f', 't', 'm', 'a', 'x', '回', '归', '中', '的', '所', '有', '权', '重', '参', '数', '初', '始', '化', '为', '相', '同', '的', '值', '?', '(', '3', ')', '在', '相', '关', '资', '料', '中', '查', '找', '两', '个', '矩', '阵', '乘', '积', '特', '征', '值', '的', '解', '析', '解', '。', '这', '对', '确', '保', '梯', '度', '条', '件', '合', '适', '有', '什', '么', '启', '示', '?', '(', '4', ')', '如', '果', '我', '们', '知', '道', '某', '些', '项', '是', '发', '散', '的', ',', '我', '们', '能', '在', '事', '后', '修', '正', '吗', '?', '可', '以', '参', '考', '关', '于', '按', '层', '自', '适', '应', '速', '率', '缩', '放', '的', '论', '文', '着', '类', '以', '看', '到', '4', '.', '9', ' ', '环', '境', '和', '分', '布', '偏', '移', '扫', '码', '直', '达', '讨', '论', '区', '退', '两', '前', '面', '我', '们', '学', '习', '了', '许', '多', '机', '器', '学', '习', '的', '实', '际', '应', '用', ',', '用', '模', '型', '拟', '合', '各', '种', '数', '据', '集', '。', '然', '而', ',', '我', '们', '从', '来', '没', '有', '想', '过', '数', '据', '最', '初', '从', '哪', '里', '来', '?', '以', '及', '我', '们', '计', '划', '最', '终', '如', '何', '处', '理', '模', '型', '的', '输', '出', '?', '通', '常', '情', '况', '下', ',', '开', '发', '人', '员', '会', '拥', '有', '一', '些', '数', '据', '且', '急', '于', '开', '发', '模', '型', ',', '而', '不', '关', '注', '这', '些', '基', '本', '问', '题', '。']",,,2023-12-14 09:46:52.658069
"{""path"":""flagged\\image\\fe28a0faa4093262e50b\\测试题2.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\97032\\AppData\\Local\\Temp\\gradio\\88411040d7884a9b2b4a759a97ca276bb3e8368f\\测试题2.jpg"",""size"":80627,""orig_name"":""测试题2.jpg"",""mime_type"":""""}","7 道 司   米 米   山   立 A V   外   公 山 N   V   日 小   出 X   4 为   州   件 ,",,,2023-12-14 10:06:14.464864
,,,,2023-12-14 10:42:02.478215
[],"{""path"":""flagged\\上传图片\\a236a11c081f57931953\\脚下的路1.png"",""url"":""https://40724b668e30d89483.gradio.live/file=C:\\Users\\97032\\AppData\\Local\\Temp\\gradio\\13550945a581bb4826fdf121450e5ba1e1765ed6\\脚下的路1.png"",""size"":146336,""orig_name"":""脚下的路1.png"",""mime_type"":""""}",,请选择操作类型。,,,2023-12-14 14:54:02.020198
图片转文字,"{""path"":""flagged\\上传图片\\36348d5ed6d7d82c5981\\脚下的路1.png"",""url"":""https://40724b668e30d89483.gradio.live/file=C:\\Users\\97032\\AppData\\Local\\Temp\\gradio\\13550945a581bb4826fdf121450e5ba1e1765ed6\\脚下的路1.png"",""size"":146336,""orig_name"":""脚下的路1.png"",""mime_type"":""""}",,请选择操作类型。,,,2023-12-14 14:54:13.511818
"{""path"":""flagged\\上传图片\\1e586c7b68170a9ac880\\image-20231116105010529.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\97032\\AppData\\Local\\Temp\\gradio\\882efa93687ef1dcc4f98ff183e9e27c0d4e346d\\image-20231116105010529.png"",""size"":51173,""orig_name"":""image-20231116105010529.png"",""mime_type"":""""}",( a )   D i s c r i m i n a t i v e   J o b   R e c o m m e n d a t i o n ( b )   G e n e r a t i v e   J o b ( c ) G e n e r a t i o n - E n h a n c e d   J o b   R e c o m m e n d a t i o n R e c o m m e n d a t i o n ↑ G e n e r a t e d   J D P r e d i c t o r P r e d i c t o r C V J D C V J D E m b e d d i n g E m b e d d i n g R e c o m m e n d E m b e d d i n g E m b e d d i n g G e n e r a t e d L L M - b a s e d J D C u r r i c u l u m J o b G e n e r a t o r C u r r i c u l u m J o b V i t a e D e s c r i p t i o n V i t a e D e s c r i p t i o n J o b   S e e k e r R e c r u i t e r I n p u t   C V J o b   S e e k e r J o b   S e e k e r R e c r u i t e r F i g .   1 .   S c h e m a t i c   d i a g r a m   o f   t h r e e   d i s t i n c t   j o b   r e c o m m e n d a t i o n   p a r a d i g m s .,,,2023-12-15 15:56:44.407521
,,,,2023-12-15 17:31:37.234091
"{""path"":""flagged\\image\\bad500cb476f7c363439\\image-20231116150719950.png"",""url"":""http://127.0.0.1:7861/file=C:\\Users\\97032\\AppData\\Local\\Temp\\gradio\\28d1f79ba50ded2101db83dc7c7e257f5fa298df\\image-20231116150719950.png"",""size"":177111,""orig_name"":""image-20231116150719950.png"",""mime_type"":""""}","{""path"":""flagged\\output\\4690a74b1e49ab219950\\image.PNG"",""url"":null,""size"":null,""orig_name"":""image.PNG"",""mime_type"":null}",,,2023-12-16 14:50:06.168778
"{""path"":""flagged\\image\\6e42ac36f77d86f0b2a9\\image-20231116150719950.png"",""url"":""http://127.0.0.1:7861/file=C:\\Users\\97032\\AppData\\Local\\Temp\\gradio\\28d1f79ba50ded2101db83dc7c7e257f5fa298df\\image-20231116150719950.png"",""size"":177111,""orig_name"":""image-20231116150719950.png"",""mime_type"":""""}","{""path"":""flagged\\output\\b0880488acc4f4ba0712\\image.PNG"",""url"":null,""size"":null,""orig_name"":""image.PNG"",""mime_type"":null}",,,2023-12-16 14:50:59.128547
"{""path"":""flagged\\image\\c155ac03eb362877096e\\办公文档.jpg"",""url"":""http://127.0.0.1:7861/file=C:\\Users\\97032\\AppData\\Local\\Temp\\gradio\\86ce744b922b60889049fd5b6bf956d9d67b0215\\办公文档.jpg"",""size"":76100,""orig_name"":""办公文档.jpg"",""mime_type"":""""}","{""path"":""flagged\\output\\6ca09920a4f334ed9f95\\image.PNG"",""url"":null,""size"":null,""orig_name"":""image.PNG"",""mime_type"":null}",,,2023-12-16 14:52:56.150482
"{""path"":""flagged\\上传图片\\285128bca64b22764d52\\办公文档.jpg"",""url"":""http://127.0.0.1:7865/file=C:\\Users\\97032\\AppData\\Local\\Temp\\gradio\\86ce744b922b60889049fd5b6bf956d9d67b0215\\办公文档.jpg"",""size"":76100,""orig_name"":""办公文档.jpg"",""mime_type"":""""}",,,,2023-12-16 16:12:36.247471
